,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
EDAD,0.07432490788546307,0.006000984965991026,12.385451439501944,3.1331683784391256e-35,0.06256319348035434,0.0860866222905718
hombre,0.3977194600587273,0.03265636258624816,12.178927123567949,4.025422306201989e-34,0.3337141655235996,0.46172475459385504
edad2,-0.0008066264498450583,6.529240330251222e-05,-12.354062785953879,4.6312192677209207e-35,-0.0009345972087820463,-0.0006786556909080702
PE47_Educación Media o Bachillerato,-0.2256192267868329,0.025109764739042043,-8.98531822705721,2.5798662777292362e-19,-0.2748334613356291,-0.1764049922380367
PE47_Educación básica,-0.3457825120010999,0.03580975091367753,-9.656099335475362,4.631645314685848e-22,-0.41596833408725814,-0.27559668991494163
PE47_Educación inicial,-0.2328443562770678,0.14521356222784404,-1.6034614997718233,0.10883280260012997,-0.5174577083104082,0.05176899575627253
PE47_Ninguno,-0.14014166902483344,0.01814101903866401,-7.72512661643478,1.1174221615376526e-14,-0.17569741298347033,-0.10458592506619654
PE47_Post Bachillerato / Sup. No Universitario,0.025259744891175707,0.020916823095318574,1.2076281745113162,0.22719031687075253,-0.01573647504664431,0.06625596482899572
PE47_Postgrado,0.22495624002095996,0.030051279789282934,7.48574575187261,7.114200145834846e-14,0.16605681394462898,0.28385566609729096
PE47_Primaria,-0.07995752424371033,0.014384639302233193,-5.558535223840965,2.7204806101649875e-08,-0.10815089920668676,-0.051764149280733904
PE47_Secundaria,-0.05761841735805055,0.014299205412563723,-4.029483855615168,5.5899454549912936e-05,-0.08564434497421566,-0.02959248974188545
PE47_Superior,-0.027026466591006503,0.014490736388216685,-1.865085794603468,0.06216937939585127,-0.05542778802137523,0.0013748548393622238
AREA_5000_Urbano,-0.2946782246810093,0.023598031360923623,-12.487407113500659,8.745767488396386e-36,-0.3409295162544663,-0.24842693310755226
prob_logit,2.6765363358528713,0.7879729940627399,3.396736126771066,0.0006819469274894665,1.1321376466997073,4.220935025006035
prob_probit,-3.5546115511440632,0.9198649926620361,-3.864275278981128,0.00011141951206507623,-5.3575138074008555,-1.7517092948872712
pred_logit,0.009213107694468328,0.00768469604423586,1.1988903193352585,0.23057059644623656,-0.00584861978437138,0.024274835173308036
