,coeficiente,error_estandar,p_valor
const,-3.8259893245790635,0.1276392212011455,2.0767896671829256e-197
EDAD,0.4719573994605143,0.038077313733563954,2.7914114354297085e-35
hombre,2.5254877190487792,0.20721136933526016,3.6024684783303185e-34
edad2,-0.0051220153840159655,0.0004142941806639781,4.1319902774034153e-35
PE47_Educación Media o Bachillerato,-1.4326645881174436,0.15939050313695663,2.5087004200478545e-19
PE47_Educación básica,-2.195692127791695,0.22729613974263865,4.456453871520707e-22
PE47_Educación inicial,-1.4785435999048946,0.9220841499240257,0.10882869558712036
PE47_Ninguno,-0.8898887270865291,0.11516136500009248,1.0983424501101139e-14
PE47_Post Bachillerato / Sup. No Universitario,0.16039742058270615,0.13281874891565057,0.22718522543530406
PE47_Postgrado,1.428454673584249,0.1907642865502238,6.989837598646659e-14
PE47_Primaria,-0.5077240763959843,0.09132896541752458,2.708764672531846e-08
PE47_Secundaria,-0.36587248058539656,0.09079253981497204,5.58329519873026e-05
PE47_Superior,-0.1716159663265749,0.0920139038198628,0.06216611787793195
AREA_5000_Urbano,-1.87118386762616,0.14972836487528923,7.73365899019015e-36
prob_logit,16.995798105490486,5.003795537564953,0.0006823329685474584
prob_probit,-22.571507607589083,5.840761828303678,0.00011132608446326749
pred_logit,0.058502519170710615,0.04879964868685894,0.23059376526151776
