,coeficiente,error_estandar,p_valor
const,-2.0323484124878597,0.06831235496094104,1.6924199311158295e-194
EDAD,0.1925603025415976,0.01816039952177186,2.876240560003835e-26
hombre,1.041891234182373,0.09896975831101282,6.461477880258544e-26
edad2,-0.002089521952388117,0.00019767057656088806,4.0731914962577665e-26
PE47_Educación Media o Bachillerato,-0.579383474029269,0.0822630684391077,1.8806734513676643e-12
PE47_Educación básica,-0.893767745974234,0.11418226975270653,4.974577260045115e-15
PE47_Educación inicial,-0.5973283557530288,0.5650525559732024,0.2904568263503263
PE47_Ninguno,-0.36163587710104433,0.061454239340617445,3.989291070656244e-09
PE47_Post Bachillerato / Sup. No Universitario,0.07704095461418294,0.07465955470765151,0.3021204713455261
PE47_Postgrado,0.5890000078302238,0.09796392009966297,1.8277662338046385e-09
PE47_Primaria,-0.20000638024987916,0.0503976498631093,7.230654941474457e-05
PE47_Secundaria,-0.1421435612595097,0.05055604863582541,0.004929523446624474
PE47_Superior,-0.06479865615874124,0.05157248119522161,0.2089499673179328
AREA_5000_Urbano,-0.7673217011339304,0.07110695348274455,3.792546301103218e-27
prob_logit,6.275562310441289,2.6656300060113,0.018560069980294778
prob_probit,-7.635490113582111,3.0620673958394105,0.012646439851041842
pred_logit,0.035260791811272736,0.02990880841517394,0.23842072073845033
